ISO,Sex,Year,Mean,Underweight,Obesity,Severe,Morbid,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1975,18.99944015,0.284239043,0.002077545,3.45E-05,7.88E-06,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1976,19.10551823,0.281989591,0.002236829,3.82E-05,8.56E-06,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1977,19.21208022,0.279693891,0.002410114,4.24E-05,9.38E-06,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1978,19.31905253,0.277335914,0.002598674,4.73E-05,1.03E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1979,19.4259518,0.274931335,0.002803615,5.28E-05,1.15E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1980,19.53292264,0.27249428,0.003026073,5.92E-05,1.28E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1981,19.63799768,0.270042524,0.003263622,6.64E-05,1.43E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1982,19.74166976,0.267567367,0.00351722,7.45E-05,1.60E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1983,19.843253,0.265086295,0.003787228,8.36E-05,1.80E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1984,19.94343635,0.262591806,0.00407454,9.38E-05,2.02E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1985,20.04144409,0.260072628,0.00438106,0.000105291,2.28E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1986,20.13723046,0.257543243,0.0047074,0.000118195,2.58E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1987,20.23119765,0.254998407,0.005055633,0.000132645,2.91E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1988,20.32325802,0.25244601,0.005425863,0.00014885,3.29E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1989,20.41366369,0.24988027,0.005820096,0.000167092,3.71E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1990,20.50280452,0.247283929,0.006240354,0.000187534,4.20E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1991,20.59086055,0.244659106,0.006690215,0.000210452,4.76E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1992,20.67762822,0.241992526,0.007169901,0.000236112,5.38E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1993,20.76353917,0.23927641,0.007680489,0.000264783,6.09E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1994,20.84882813,0.236509506,0.008223772,0.000296923,6.88E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1995,20.93384699,0.233694702,0.008803815,0.000332819,7.77E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1996,21.01952527,0.230825405,0.009420684,0.0003728,8.78E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1997,21.1060795,0.227904908,0.010076899,0.000417213,9.92E-05,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1998,21.19377909,0.224938533,0.010772618,0.000466487,0.00011194,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,1999,21.281575,0.22191249,0.011512076,0.000521208,0.000126235,,,,,,,,,,,,,,,,,,,,,,,,,,
AFG,Men,2000,21.36950574,0.21885661,0.012296558,0.00058196,0.000142296,,,,,,,,,,,,,,,,,,,,,,,,,,
