Code,Name,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
ABW,阿鲁巴,,,,,,,,,,,,405463417.1,487602457.7,596423607.1,695304363,764887117.2,872138730.8,958463200.2,1082979708,1245688253,1320474860,1379960894,1531944134,1665100559,1722798883,1873452514,1920111732,1941340782,2021229050,2228491620,2330726257,2424581006,2615083799,2745251397,2498882682,2390502793,2549720670,2534636872,2581564246,2649720670,2691620112,2646927374
AFG,阿富汗,2366666616,2555555567,2953333418,3300000109,3697940410,3641723322,3478787909,,,,,,,,,,,,,,,,,,,,,4055179566,4515558808,5226778809,6209137625,6971285595,9747879532,10109225814,12439087077,15856574731,17804292964,19907317066,20561069558,20484885120,19907111419,19046357714
AGO,安哥拉,,,,,,5930503401,5550483036,5550483036,5784341596,6131475065,7553560459,7072063345,8083872012,8769250550,10201099040,11228764963,10603784541,8307810974,5768720422,4438321017,5538749260,7526446606,7648377413,6506229607,6152922943,9129594819,8936063723,15285594828,17812705294,23552052408,36970918699,52381006892,65266452081,88538611205,70307163678,83799496612,1.12E+11,1.28E+11,1.37E+11,1.46E+11,1.16E+11,1.01E+11
ALB,阿尔巴尼亚,,,,,,,,,,1857338012,1897050133,2097326250,2080796250,2051236250,2253090000,2028553750,1099559028,652174990.8,1185315468,1880951520,2392764853,3199641336,2258513974,2545964541,3212121651,3480355258,3922100794,4348068242,5611496257,7184685782,8052073539,8896072919,10677324144,12881353508,12044208086,11926957255,12890866743,12319784886,12776280961,13228247844,11386931490,11883682171
AND,安道尔共和国,220127246.4,227281024.6,254020153.3,308008897.6,411578334.2,446416105.8,388958731.3,375895956.4,327861832.9,330070689.3,346737964.8,482000594,611316399.4,721425939.2,795449332.4,1029048482,1106928583,1210013652,1007025755,1017549124,1178738991,1223945357,1180597273,1211932398,1239876305,1434429703,1496912752,1733116883,2398645598,2935659300,3255789081,3543256806,4016972351,4007353157,3660530703,3355695364,3442062830,3164615187,3281585236,3350736367,2811489409,2877311947
ARB,阿拉伯联盟国家,1.17E+11,1.45E+11,1.67E+11,1.84E+11,2.49E+11,3.38E+11,3.48E+11,3.26E+11,3.06E+11,3.11E+11,3.07E+11,2.93E+11,3.13E+11,3.08E+11,3.23E+11,4.47E+11,4.41E+11,4.72E+11,4.77E+11,4.88E+11,5.24E+11,5.78E+11,6.13E+11,5.92E+11,6.44E+11,7.35E+11,7.23E+11,7.29E+11,8.23E+11,9.64E+11,1.19E+12,1.40E+12,1.64E+12,2.08E+12,1.80E+12,2.11E+12,2.50E+12,2.79E+12,2.87E+12,2.91E+12,2.56E+12,2.51E+12
ARE,阿拉伯联合酋长国,14720672507,19213022691,24871775165,23775831783,31225463218,43598748449,49333424135,46622718605,42803323345,41807954236,40603650232,33943612095,36384908744,36275674203,41464995914,50701443748,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04E+11,1.03E+11,1.10E+11,1.24E+11,1.48E+11,1.81E+11,2.22E+11,2.58E+11,3.15E+11,2.54E+11,2.90E+11,3.51E+11,3.75E+11,3.90E+11,4.03E+11,3.58E+11,3.57E+11
ARG,阿根廷,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.04E+11,79092001998,88416668900,1.11E+11,1.11E+11,1.26E+11,76636898036,1.41E+11,1.90E+11,2.29E+11,2.37E+11,2.57E+11,2.58E+11,2.72E+11,2.93E+11,2.99E+11,2.84E+11,2.84E+11,2.69E+11,97724004252,1.28E+11,1.65E+11,1.99E+11,2.33E+11,2.88E+11,3.62E+11,3.33E+11,4.24E+11,5.30E+11,5.46E+11,5.52E+11,5.26E+11,5.95E+11,5.55E+11
ARM,亚美尼亚,,,,,,,,,,,,,,,,2256838858,2068526522,1272577456,1201313201,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469950,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11609512940,10553337673,10546135160
ASM,美属萨摩亚,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000,527000000,512000000,503000000,496000000,520000000,563000000,678000000,576000000,574000000,644000000,641000000,643000000,661000000,653000000
ATG,安提瓜和巴布达,,,77496753.7,87879341.48,109079978.9,131431026.7,147841734.4,164369278.9,182144093,208372846.3,240923924.8,290440140.7,337174861.9,398637727.8,438794788.5,459469058.9,481706342.2,499281144.1,535172767.4,589429609.6,577280726.7,633730647,680617122.6,727860577.8,766198910,830158768.9,800740257.4,814615323.7,855643099.6,919577142.6,1022191294,1157005441,1311401319,1368431043,1224253014,1152469069,1142042916,1211411704,1192919619,1275576784,1359194737,1464630213
AUS,澳大利亚,97147343985,1.05E+11,1.10E+11,1.18E+11,1.35E+11,1.50E+11,1.77E+11,1.94E+11,1.77E+11,1.93E+11,1.80E+11,1.82E+11,1.89E+11,2.36E+11,2.99E+11,3.11E+11,3.25E+11,3.25E+11,3.12E+11,3.22E+11,3.67E+11,4.00E+11,4.35E+11,3.99E+11,3.88E+11,4.15E+11,3.78E+11,3.94E+11,4.66E+11,6.12E+11,6.93E+11,7.46E+11,8.52E+11,1.05E+12,9.26E+11,1.14E+12,1.39E+12,1.54E+12,1.57E+12,1.46E+12,1.35E+12,1.21E+12
AUT,奥地利,40059206763,42959976068,51545759221,62052258694,73937296655,82058912465,71034228097,71275287328,72121016623,67985345162,69386774475,99036165210,1.24E+11,1.33E+11,1.33E+11,1.66E+11,1.74E+11,1.95E+11,1.90E+11,2.04E+11,2.41E+11,2.37E+11,2.13E+11,2.18E+11,2.17E+11,1.97E+11,1.97E+11,2.13E+11,2.62E+11,3.01E+11,3.16E+11,3.36E+11,3.89E+11,4.30E+11,4.00E+11,3.92E+11,4.31E+11,4.09E+11,4.30E+11,4.42E+11,3.82E+11,3.94E+11
AZE,阿塞拜疆,,,,,,,,,,,,,,,,9063444102,8226390167,4970536337,3970953396,3313939554,3052467522,3176703092,3962735257,4446370371,4581246713,5272617196,5707720391,6235856820,7276013032,8680370408,13245716099,20982986344,33050343783,48852482960,44291490421,52902703376,65951627200,69683935845,74164435946,75244294275,53074370486,37867518957
BDI,布隆迪,420986666.7,448412753.6,547535555.6,610225555.6,782496666.7,919726666.7,969046666.7,1013222222,1082926304,987143931.2,1149979286,1201725497,1131466494,1082403219,1113924130,1132101253,1167398478,1083037671,938632612,925030590.2,1000428394,869033856.3,972896267.9,893770806.1,808077223.4,870486065.9,876794723.1,825394490.2,784654423.6,915257323.4,1117113046,1273375020,1356199365,1611835902,1781455092,2032135247,2235820868,2333308099,2451625333,2705783272,3104394858,2959185295
BEL,比利时,66029748931,71494539498,83283328419,1.02E+11,1.17E+11,1.28E+11,1.05E+11,92588895020,87650915976,83795680815,86730038793,1.21E+11,1.50E+11,1.63E+11,1.65E+11,2.06E+11,2.12E+11,2.36E+11,2.26E+11,2.46E+11,2.90E+11,2.81E+11,2.55E+11,2.61E+11,2.60E+11,2.38E+11,2.38E+11,2.59E+11,3.19E+11,3.71E+11,3.87E+11,4.10E+11,4.72E+11,5.19E+11,4.85E+11,4.84E+11,5.27E+11,4.98E+11,5.21E+11,5.31E+11,4.56E+11,4.70E+11
BEN,贝宁,676870140.3,698408244.4,750049739.2,928843304.8,1186231265,1405251547,1291119965,1267778489,1095348303,1051133927,1045712703,1336102041,1562412030,1620246187,1502294411,1959965244,1986437860,1695315306,2274557914,1598075932,2169627251,2361116588,2268301538,2455092582,2689787918,2569186643,2680213931,3054571082,3905366188,4521424807,4803702821,5142380779,5969535132,7132787397,7097198712,6970240895,7814081156,8152554487,9157355680,9707432016,8291155881,8573159697
BFA,布基纳法索,939972703.5,976547572.2,1131225279,1475584037,1748480982,1928720390,1775842680,1754450379,1600278756,1459880353,1552493414,2036303381,2369835439,2616040646,2615588546,3101301781,3135045684,2240264712,2332018011,1895290965,2379518099,2586550747,2447669404,2804902724,2993753187,2628920056,2812845514,3205592290,4205691222,4838551100,5462709498,5816310158,6771277871,8369637065,8369175126,8979966766,10724063458,11166063467,11947176342,12377391463,10419303761,10886363727
BGD,孟加拉国,19448348073,10117113333,9651149302,13281767143,15565480322,18138049096,20249694002,18525399202,17609048822,18920840000,22278423077,21774033333,24298032258,26579005760,28781714764,31598341234,30957483950,31708874594,33166519418,33768660883,37939748769,46438484108,48244309133,49984559471,51270569884,53369787319,53991289844,54724081491,60158929188,65108544250,69442943089,71819083684,79611888213,91631278239,1.02E+11,1.15E+11,1.29E+11,1.33E+11,1.50E+11,1.73E+11,1.95E+11,2.21E+11
BGR,保加利亚,,,,,,19839230769,19870000000,19342000000,16563666667,17594944444,17155421053,20249294118,28101000000,22555941176,21988444444,20632090909,10943548387,10350515464,10829710145,9697416974,13063422619,10109612142,11195612105,14942172234,13531969309,13153016531,14075616789,16276456428,20982685981,25957970922,29636617750,34130122491,44411476557,54409138498,51884481410,50610058210,57418414504,53903022339,55555171010,56814543481,50201314895,53240950226
BHR,巴林,,,,,,3072698328,3467819149,3645744681,3735106383,3905585106,3651861702,3052393617,3392021011,3702393617,3863563830,4229787234,4616223404,4751063830,5200265957,5567553457,5849467819,6101861436,6349202394,6183776596,6621010372,9062906915,8976207713,9632155053,11074822074,13150166755,15968726862,18505053191,21730000000,25710877660,22938218085,25713271277,28776595745,30749308511,32539547872,33387712766,31125851064,32250132979
BHS,巴哈马,596200000,642100000,713000000,832400000,1139800100,1335300000,1426500000,1578300000,1732800000,2041100000,2320699900,2472500000,2713999900,2817900000,3062000000,3166000000,3111160000,3109000000,3092000000,3259000000,3429000000,3609000000,6332360000,6833220000,7683870000,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,10526000000,9981960000,10095760000,10070450000,10720500000,10627600000,10957300000,11792300000,11838800000
BIH,波斯尼亚和黑塞哥维那,,,,,,,,,,,,,,,,,,,,1255802469,1866572954,2786045322,3671816504,4116699437,4685729739,5505984456,5748990666,6651226179,8370020196,10596205714,11222953519,12864610994,15778767670,19112739664,17613836210,17176781337,18644723861,17226849297,18178503835,18558343508,16209702864,16911088174
BLR,白俄罗斯,,,,,,,,,,,,,,,,21650000000,18000000000,17037037037,16280991736,14932024169,13972676841,14756846154,14128408566,15222012660,12138486532,12736856828,12354820144,14594249023,17827791321,23144351852,30207567317,36954312354,45277399814,60763483146,50874078052,58665088956,61757788945,65685102555,75527984234,78813839984,56454734397,47749057078
BLZ,伯利兹,118066298.3,96905829.6,117650000,136300000,151800000,197938222.4,196089854.7,182206327,192103186,214381949,212643742.7,231638320.5,281082558.6,320093360.3,369133890.7,412086445.5,444720750,518239100,559858250,580863700,620140400,641383800,654314350,688992450,732732350,832072450,871860600,932551850,990374050,1057845500,1114202700,1217442150,1290542550,1368625150,1335217500,1396731700,1486595750,1563827850,1608442150,1692955750,1762500450,1806646250
BMU,百慕大,345000000,386300000,447000000,475800000,517200000,613299968,739100032,785500032,889400000,985699968,1039500032,1173500032,1296499968,1415100032,1501500032,1592400000,1634899968,1679900032,1820359936,1867160064,2030749952,2695390000,2932827000,3130748000,3324433000,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,5414299000,5895048000,6109928000,5806378000,5744414000,5550771000,5537537000,5573710000,,,
BOL,玻利维亚,2404697651,2731984008,3227436282,3758220890,4421343606,4526916803,5872756933,5587490265,5422440962,6169501038,5377277407,3958338883,4323623622,4597615563,4715978868,4867582620,5343274312,5643893347,5734676561,5981244887,6715220507,7396966657,7925673448,8497545598,8285075872,8397912509,8141537938,7905485216,8082364868,8773451739,9549077869,11451845341,13120107688,16674276952,17339992165,19649724655,23963162984,27084497540,30659338929,32996187988,33000198263,33941126194
BRA,巴西,1.24E+11,1.53E+11,1.76E+11,2.01E+11,2.25E+11,2.35E+11,2.64E+11,2.82E+11,2.03E+11,2.09E+11,2.23E+11,2.68E+11,2.94E+11,3.30E+11,4.26E+11,4.62E+11,6.03E+11,4.01E+11,4.38E+11,5.58E+11,7.69E+11,8.50E+11,8.83E+11,8.64E+11,5.99E+11,6.55E+11,5.59E+11,5.08E+11,5.58E+11,6.69E+11,8.92E+11,1.11E+12,1.40E+12,1.70E+12,1.67E+12,2.21E+12,2.62E+12,2.47E+12,2.47E+12,2.46E+12,1.80E+12,1.80E+12
BRB,巴巴多斯,402178605,435911268.6,495097667.9,552883707.1,670362452.1,860388803.3,946949734,989409834.4,1050514593,1144931139,1198329439,1315616765,1448714762,1540893949,1703972555,2023318252,2007109829,1950900000,2046189032,2151295182,2261969870,2411872918,2549296475,2874459305,3012081738,3121500000,3116650000,3169600000,3274850000,3514350000,3897300000,4176500000,4672250000,4782000000,4479950000,4529900000,4660900000,4656350000,4612500000,4608350000,4584150000,4529050000
BRN,文莱达鲁萨兰国,1168304306,1423061357,1732721161,1941600704,2803780006,4928824958,4366213850,4264252336,3844723142,3782523088,3523612563,2358592817,2754463438,2690717551,2985467979,3520551724,3701667053,4183548189,4105706152,4087337960,4734020037,5115602837,5197332974,4051147228,4600000000,6001153306,5601090584,5843329108,6557333085,7872333215,9531402848,11470703002,12247694247,14393099069,10732366286,13707370737,18525319978,19048495519,18093829923,17098342541,12930394938,11400653949
BTN,不丹,,,,,,135653295.2,146391639.7,148934334,165585940.6,169264991.2,172217502,201375725.6,253182453.7,283855833.3,275949889.1,299787275.8,250045839.9,250794359.6,235239570.4,270801565.2,303053462.8,316420860.9,365964500.1,376955087.3,419035810.5,439158233.2,476360697.2,537050133.7,622026107.8,702682019,818869145.1,897731524.9,1196091805,1258332337,1264758198,1585472534,1820207626,1823692110,1798333726,1958819096,2059809920,2219675781
BWA,博茨瓦纳,355172413.8,372010119.6,451603325.4,590376720.6,819877300.6,1060923829,1073861599,1014907255,1172258182,1240796365,1114764007,1392634772,1965274882,2644536804,3083800685,3790567052,3942792837,4146513722,4160086253,4259330999,4730611067,4847752843,5020214747,4790458837,5484257417,5788329609,5489608300,5438857107,7511582173,8957467707,9931134941,10126940513,10939053365,10945070442,10267133178,12786654366,15351972227,14420393569,14901750765,16250750259,14406496464,15648632362
CAF,中非共和国,378660016.3,451152450,507298120.7,610578523.8,700764892.7,797048028.8,694803502.7,748312283.7,658679394.9,637820620.7,864849765.1,1122265026,1200991826,1264899368,1233930277,1440711396,1377375031,1411917558,1278781167,851174350.6,1115389732,1007791186,937741468,967338348.7,999477510.7,914500299.1,931833302.8,991387870.1,1139754799,1270080251,1337362392,1460561215,1697565949,1985240986,1981732634,1986015906,2195599557,2169706564,1518565298,1702899386,1583776806,1755468137
CAN,加拿大,1.74E+11,2.07E+11,2.12E+11,2.19E+11,2.43E+11,2.74E+11,3.06E+11,3.14E+11,3.41E+11,3.55E+11,3.65E+11,3.77E+11,4.31E+11,5.07E+11,5.65E+11,5.94E+11,6.10E+11,5.92E+11,5.77E+11,5.78E+11,6.04E+11,6.29E+11,6.53E+11,6.32E+11,6.76E+11,7.42E+11,7.36E+11,7.58E+11,8.92E+11,1.02E+12,1.17E+12,1.32E+12,1.46E+12,1.55E+12,1.37E+12,1.61E+12,1.79E+12,1.82E+12,1.84E+12,1.80E+12,1.55E+12,1.53E+12
CEB,中歐和波羅的海,,,,,,,,,,,,,,,,2.56E+11,2.43E+11,2.60E+11,2.74E+11,3.11E+11,3.86E+11,4.13E+11,4.09E+11,4.48E+11,4.34E+11,4.28E+11,4.68E+11,5.27E+11,6.35E+11,7.63E+11,8.86E+11,1.00E+12,1.27E+12,1.53E+12,1.29E+12,1.31E+12,1.45E+12,1.35E+12,1.42E+12,1.46E+12,1.29E+12,1.32E+12
CHE,瑞士,,,,,,1.19E+11,1.09E+11,1.12E+11,1.11E+11,1.06E+11,1.08E+11,1.54E+11,1.93E+11,2.09E+11,2.02E+11,2.58E+11,2.61E+11,2.72E+11,2.64E+11,2.93E+11,3.43E+11,3.30E+11,2.87E+11,2.95E+11,2.90E+11,2.72E+11,2.79E+11,3.01E+11,3.53E+11,3.94E+11,4.09E+11,4.31E+11,4.80E+11,5.54E+11,5.42E+11,5.84E+11,7.00E+11,6.68E+11,6.89E+11,7.09E+11,6.80E+11,6.70E+11
CHI,海峡群岛,,,,,,,,,,,,,,,,,,,,,,,,5945677377,6262740657,6439703435,6232906290,6663669065,7332244898,8553643354,8827272727,9676172953,11514605842,,,,,,,,,
