Name,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
阿鲁巴,ABW,37140.02466,38562.96062,38669.3749,39051.99597,39944.11143,39113.47165,38209.19543,39824.29092,39767.78939,39478.49433,41621.23267,39495.5578,37360.47577,37303.33269,39553.37407,39515.8146,39613.76247,40172.3172,40083.20968,35831.20431,34437.49417,35490.18398,34825.20404,36072.73142,36165.61478,35814.26144,35574.61783
阿富汗,AFG,,,,,,,,,,,,,1044.950373,1083.749469,1051.039528,1124.684306,1147.291911,1270.430271,1287.534365,1523.302341,1693.770199,1649.150373,1799.585351,1838.406701,1829.327005,1802.04952,1793.886474
安哥拉,AGO,4634.856841,4538.366674,4136.684168,3042.422055,2985.702419,3330.641724,3675.303916,3836.388351,3908.766824,3882.489994,3881.5566,3915.648083,4301.471102,4276.582918,4578.40161,5081.488828,5469.704874,6017.641547,6455.397306,6282.693748,6356.934991,6346.944372,6648.205057,6735.461021,6818.446016,6650.838253,6264.680082
阿尔巴尼亚,ALB,4558.348595,3228.985019,3014.725114,3324.361083,3622.452465,4129.669137,4533.558231,4063.830777,4450.588166,5056.191286,5442.172335,5948.895901,6237.653024,6607.270093,7000.527022,7425.562377,7913.440175,8450.28358,9154.028831,9524.659119,9927.18654,10207.75352,10369.81534,10492.71975,10700.57319,10970.02479,11355.6616
安道尔共和国,AND,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿拉伯联盟国家,ARB,10385.21576,10141.80085,10470.8275,10518.62182,10561.4601,10523.29768,10766.60399,10988.6779,11393.94237,11421.33017,11771.37393,11732.29261,11554.10255,11810.18453,12615.03068,13025.79409,13505.85405,13782.13527,14234.88732,14027.75427,14356.75262,14446.97175,15058.67173,15176.56393,15201.40395,15365.84436,15569.60199
阿拉伯联合酋长国,ARE,110432.465,105171.4096,102615.1703,98224.51647,99529.78072,100976.9451,101754.2957,104829.0273,100018.1038,97753.82842,102634.9243,98716.97042,95894.91443,97790.1774,98076.53316,91798.25991,88086.35738,78830.27664,71314.66882,60769.86103,57232.61808,58363.67822,59419.08949,61688.3803,63943.18583,66569.40341,67705.94933
阿根廷,ARG,11334.22261,12196.41792,12984.06817,13861.94618,14481.1082,13893.52266,14485.50768,15479.37913,15894.55805,15186.1302,14899.87005,14085.57518,12412.60599,13361.40004,14410.15052,15518.67851,16592.26489,17900.70634,18436.86247,17168.37894,18712.06308,19629.35185,19224.8744,19482.1903,18797.54795,19116.90791,18584.58
亚美尼亚,ARM,3742.437371,3335.601899,1976.529237,1845.319707,1992.019485,2173.36283,2336.516562,2441.181834,2639.949318,2744.430205,2924.74738,3224.141275,3669.44339,4206.975118,4673.984726,5356.614424,6110.226191,7010.627056,7558.361648,6532.964231,6702.848006,7022.103943,7511.132482,7727.929091,7971.117927,8195.933649,8190.239289
美属萨摩亚,ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,
安提瓜和巴布达,ATG,16381.01837,16585.67124,16503.17213,16999.17697,17683.75147,16476.33353,17097.97594,17543.73187,17887.808,18102.20351,18908.49424,17660.52197,17591.34024,18437.5083,19282.22985,20289.7107,22606.84092,24408.18156,24111.37719,20942.30105,19212.7199,18605.31659,19047.20026,18823.76824,19491.19435,20063.20423,20966.46574
澳大利亚,AUS,28658.36589,28185.7529,27969.06612,28815.46298,29646.41927,30412.07805,31179.30787,32055.38506,33174.90765,34443.86618,35377.72955,35578.64207,36553.96461,37183.68457,38225.69371,38928.04076,39445.13292,40680.18963,41331.52797,41266.86638,41464.04007,41894.17305,42771.40125,43151.21871,43599.9757,43987.41877,44530.08594
奥地利,AUT,31341.90238,32098.49154,32411.80246,32314.97087,32964.10161,33791.80147,34539.08559,35222.25938,36443.70926,37666.41162,38844.40471,39186.337,39638.02687,39816.77412,40652.8107,41282.87999,42498.00733,43939.42529,44441.78853,42656.85416,43336.19785,44452.73275,44551.61757,44301.10403,44246.89327,44253.75425,44670.65457
阿塞拜疆,AZE,8513.310693,8323.499345,6345.517,4806.132702,3807.507907,3319.767349,3329.134804,3488.410025,3801.002521,4046.607467,4458.998423,4862.619031,5338.076318,5891.137108,6435.448129,8051.674838,10711.18227,13243.21286,14364.99423,15393.89329,15950.25746,15754.15236,15888.218,16593.18876,16715.10552,16698.86365,16001.3234
布隆迪,BDI,1031.862979,1058.667805,1046.864649,962.7885727,910.1114707,825.3167925,749.3553601,728.8760826,754.3334069,735.703734,715.5237697,712.954886,724.1401955,693.5167945,703.82443,687.1187612,700.5322999,700.5953001,710.2617245,713.3027149,726.0842392,732.2629901,742.1579949,755.9529541,764.7802178,712.7969266,686.6501775
比利时,BEL,30647.82028,31093.85998,31441.97619,31018.13851,31920.55501,32613.4067,33068.39422,34212.48709,34813.86094,35971.84916,37188.64239,37361.71713,37856.86339,37990.71198,39201.52579,39802.97088,40532.27162,41623.44028,41619.33863,40355.57171,41085.9175,41284.15101,41125.24116,41013.99211,41344.63628,41811.41397,42219.55234
贝宁,BEN,1462.677421,1473.862526,1465.570579,1497.74264,1476.539343,1515.06774,1531.642807,1571.169061,1585.785066,1621.900868,1666.467464,1703.01513,1728.696879,1734.6953,1757.902979,1735.97415,1752.95774,1805.622568,1841.188447,1831.881827,1818.778461,1820.894693,1855.953118,1934.649107,2001.077289,1987.14192,2009.618321
布基纳法索,BFA,844.3421676,896.5984778,874.8064446,880.8914925,868.4635323,893.2406808,964.5869206,997.3647514,1040.667438,1086.616198,1075.395337,1114.202253,1129.740538,1183.09488,1200.417062,1266.361537,1305.924877,1338.838375,1393.696993,1392.200194,1423.377706,1472.716482,1521.454295,1562.304708,1582.333697,1596.334581,1642.470189
孟加拉国,BGD,1287.933664,1301.699659,1341.763341,1374.418906,1397.318619,1437.639731,1470.907452,1504.87169,1550.318035,1590.251667,1641.958768,1692.829119,1725.632005,1775.978154,1838.76198,1929.938743,2031.271992,2148.473993,2252.168733,2339.865769,2442.728888,2570.850145,2706.586745,2835.767002,2973.041021,3132.56754,3319.353556
保加利亚,BGR,9296.945055,8596.50681,8057.39719,8001.70337,8174.888939,8446.242031,8549.741129,8508.290712,9109.062968,8390.067864,8833.439772,9350.77886,10123.36273,10730.00351,11507.04555,12419.9192,13374.90738,14463.17214,15442.13986,14984.59486,15283.27972,15676.13848,15772.08445,15938.93884,16324.34283,16999.11198,17792.68398
巴林,BHR,35113.33294,37996.64308,39506.17879,43499.08919,42334.37561,42896.71425,43504.5116,43624.15943,44315.45925,44562.3398,44942.36902,43887.07119,43147.49638,43187.49918,43355.30565,43201.80669,42673.08063,42755.4262,42218.14849,40717.18041,40570.53569,40164.58274,40960.33318,42680.20134,43837.34406,43926.47404,43750.79047
巴哈马,BHS,30991.96834,29152.33566,27508.44527,27081.17517,27455.0334,28221.967,29036.65595,29307.06201,30362.39197,32142.34177,32990.76145,33271.18322,33505.41317,32391.31379,31990.34987,32401.13972,32565.70703,32409.68704,31080.15801,29263.80325,29221.99118,28941.02823,29395.61972,28871.35826,28456.81653,28407.12582,27613.51794
波斯尼亚和黑塞哥维那,BIH,,,,,1471.354961,1825.998651,3508.169576,4749.727226,5493.533431,6007.085306,6324.70823,6594.979918,6936.19511,7207.076814,7642.580716,8311.479852,8766.515353,9293.291309,9824.68929,9573.015701,9720.009538,9901.589965,9929.68776,10284.76486,10516.76568,10932.4459,11337.55537
白俄罗斯,BLR,8366.632185,8262.178507,7452.924869,6871.033192,6074.24098,5460.138402,5631.806271,6300.497987,6862.297386,7125.522961,7574.405006,7973.113516,8428.863243,9085.886223,10195.51081,11230.33144,12429.2352,13560.22848,14995.07764,15058.60445,16260.59268,17166.69564,17472.32493,17644.85441,17933.34272,17219.12065,16763.03611
伯利兹,BLZ,5115.843479,5595.693826,6167.531638,6445.164698,6325.479185,6203.53947,6094.460658,6084.67325,6074.408044,6366.014786,6953.700926,7082.837721,7240.398559,7712.127436,7867.169366,7865.214182,8014.231977,7894.839333,7943.243462,7798.759099,7870.117398,7855.082443,7905.521958,7799.599398,7914.819899,8013.421712,7799.877687
百慕大,BMU,40553.25852,39322.10918,39584.32986,40557.22016,40518.40782,41999.25946,42816.96324,44514.10942,45911.6865,47199.84145,51140.23684,54245.14964,53096.92549,54549.80116,55452.63888,56017.19162,58784.59329,60117.45991,60675.98209,57151.91913,56395.0078,54984.51039,52137.30037,50669.31477,,,
